age ,qx,lx,dx
0-1,0.02873,100000,2873
1-5,0.0042,97127,407.9334
5-10,0.00239,96719.0666,231.1585692
10-15,0.00275,96487.90803,265.3417471
15-20,0.00424,96222.56628,407.983681
20-25,0.00599,95814.5826,573.9293498
25-30,0.00707,95240.65325,673.3514185
30-35,0.0094,94567.30183,888.9326372
35-40,0.01278,93678.3692,1197.209558
40-45,0.01826,92481.15964,1688.705975
45-50,0.02616,90792.45366,2375.130588
50-55,0.0397,88417.32308,3510.167726
55-60,0.06447,84907.15535,5473.964305
60-65,0.09617,79433.19104,7639.089983
65-70,0.14585,71794.10106,10471.16964
70-75,0.21044,61322.93142,12904.79769
75-80,0.29029,48418.13373,14055.30004
80-85,0.38801,34362.83369,13333.1231
85+,,21029.71059,0
